Number Of Lines Of Length 4 Gene;Number Of Lines Of Length 3 Gene;Number Of Lines Of Length 2 Gene;Number Of Blocked Lines Of Length 4 Gene;Number Of Blocked Lines Of Length 3 Gene;Number Of Blocked Lines Of Length 2 Gene;Number Of Free Lines Of Length 4 Gene;Number Of Free Lines Of Length 3 Gene;Number Of Free Lines Of Length 2 Gene;Suicide Move Gene 4;Suicide Move Gene 3;Suicide Move Gene 2;Anti Suicide Move Gene 4;Anti Suicide Move Gene 3;Anti Suicide Move Gene 2
1.56724;1.48395;0.0111384;6.16036;0.145194;-0.232384;2.55485;0.842111;0.508356;-2.67061;-0.228501;0.199732;-0.16395;0.750663;0.377879
1.56724;0.936618;0.0111384;4.31434;0.145194;0.429682;0.66739;0.842111;0.721334;-3.6897;0.733096;0.199732;-0.752338;0.517375;0.641286
1.56724;1.48395;0.0111384;5.22195;0.145194;-0.232384;1.57314;0.842111;0.508356;-3.65209;1.50371;0.977877;0.404973;0.544828;0.641286
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.232384;1.57314;0.842111;0.529453;-3.66126;-0.203034;0.240942;-0.0714386;0.3334;0.377879
1.56724;1.48395;0.0111384;4.31434;0.145194;0.557001;1.57314;0.842111;0.508356;-4.10229;-0.203034;0.240942;-0.5039;0.3334;-0.123566
1.56724;1.48395;-0.575137;4.31434;0.145194;-0.232384;2.55485;0.842111;0.508356;-3.8692;-0.203034;0.199732;0.404973;0.750663;0.641286
1.56724;2.31414;0.0111384;5.30468;0.145194;-0.232384;2.55485;0.842111;0.529453;-3.66126;-0.203034;0.240942;0.0225999;0.750663;0.377879
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.232384;2.55485;0.842111;-0.145049;-3.8692;-0.203034;0.199732;-0.151716;0.750663;0.641286
1.56724;0.936618;0.0111384;5.23347;0.145194;-0.232384;1.38968;0.842111;0.511693;-4.16008;0.733096;0.116205;-0.151716;0.544828;0.641286
1.56724;1.48395;0.0111384;4.92171;0.145194;-0.232384;1.57314;0.804727;0.222085;-2.49957;0.853497;0.199732;-1.6281;0.750663;0.369097
0.604349;0.936618;0.0111384;5.30468;0.73519;-0.232384;2.55485;0.842111;1.14661;-4.16008;-0.203034;0.240942;-0.418216;0.750663;0.377879
0.65256;1.48395;0.901069;5.22195;0.145194;-0.232384;2.55485;0.842111;0.508356;-3.8692;0.824989;0.199732;0.404973;0.544828;0.641286
1.56724;1.48395;0.0111384;4.31434;0.145194;-0.19466;1.35318;0.842111;0.721334;-4.10229;-0.203034;0.240942;-0.752338;0.3334;0.641286
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.232384;2.55485;0.842111;-0.145049;-3.8692;-0.203034;0.240942;0.138727;0.750663;0.641286
1.56724;0.936618;0.0111384;5.22195;0.145194;-0.232384;2.63743;0.842111;0.508356;-3.65209;-0.103951;0.977877;-0.16395;0.3334;0.641286
1.56724;1.48395;0.0111384;4.31434;-0.622277;-0.232384;1.26984;0.842111;0.529453;-3.8692;-0.203034;0.240942;0.138727;0.544828;0.369097
1.56724;1.48395;0.0111384;4.92171;0.145194;-0.19466;2.55485;0.472121;0.721334;-4.16008;0.733096;0.199732;0.138727;0.750663;0.170864
1.56724;1.48395;-0.0833504;4.31434;0.145194;-0.232384;1.26984;0.842111;0.508356;-2.67061;-0.203034;0.199732;0.138727;0.750663;0.369097
1.56724;1.48395;0.0111384;4.70143;-0.226006;-0.232384;2.09826;0.187105;0.598376;-4.16008;-0.548271;0.240942;0.0225999;0.750663;0.369097
1.56724;1.48395;0.0111384;4.60423;0.145194;-0.232384;2.21115;0.842111;0.508356;-3.66126;-0.203034;0.240942;-0.0714386;0.3334;0.377879
1.56724;1.48395;-0.575137;4.31434;0.145194;-0.19466;2.55485;0.842111;0.721334;-3.8692;0.733096;0.199732;0.404973;0.750663;0.641286
1.56724;0.410591;0.0111384;5.30468;0.145194;-0.232384;2.55485;0.842111;0.529453;-2.98338;-0.203034;0.240942;0.138727;0.839058;0.377879
1.56724;1.48395;0.0111384;4.92171;0.145194;-0.232384;1.35191;0.472121;0.508356;-4.16008;-0.304086;0.240942;-0.127012;0.839058;0.208528
1.56724;1.02944;0.0111384;5.22195;-0.226006;-0.232384;2.55485;0.842111;0.598376;-4.16008;-0.203034;0.240942;-0.151716;0.544828;0.369097
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.647543;1.26984;0.842111;0.529453;-3.66126;-0.203034;0.661738;-0.0714386;0.65492;0.369097
1.56724;1.48395;0.0111384;5.44331;0.145194;-0.232384;2.55485;0.804727;0.511693;-2.67061;-0.548271;0.116205;-0.151716;0.750663;0.170864
1.56724;0.896816;0.0111384;6.16036;0.145194;-0.232384;2.55485;0.842111;0.508356;-4.46473;-0.203034;0.199732;-0.16395;0.544828;0.208528
1.56724;1.48395;0.0111384;5.30468;-0.226006;-0.232384;1.57314;0.842111;0.598376;-4.16008;-0.203034;0.240942;-0.151716;0.839058;0.377879
1.56724;0.936618;0.0111384;4.31434;0.145194;-0.232384;1.35318;0.842111;0.508356;-3.59245;-0.228501;0.199732;-0.752338;0.517375;0.641286
1.56724;1.48395;0.0111384;6.16036;0.145194;-0.232384;1.35318;0.842111;0.56154;-3.67348;-0.420139;0.240942;0.138727;0.517375;0.377879
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.232384;2.55485;0.842111;0.56154;-4.11179;-1.21615;0.240942;0.138727;1.3707;0.377879
1.56724;1.48395;-0.130581;5.30468;0.145194;-0.232384;2.55485;0.842111;0.529453;-4.61961;-0.203034;0.199732;-0.418216;0.750663;0.377879
1.56724;1.48395;0.0111384;5.22195;0.145194;-0.232384;1.57314;0.804727;0.511693;-3.65209;-0.548271;0.116205;0.404973;0.544828;0.170864
1.56724;1.48395;0.0111384;5.44331;0.145194;-0.232384;1.57314;0.804727;0.511693;-3.72198;0.824989;0.116205;0.404973;0.839058;0.641286
1.56724;1.48395;0.0111384;4.31434;0.145194;-0.232384;1.57314;0.842111;0.508356;-4.46473;-0.228501;0.116205;-0.16395;0.544828;0.208528
1.56724;1.4814;-0.130581;5.43029;0.145194;-0.232384;2.55485;0.842111;-0.145049;-4.61961;-0.203034;0.199732;-0.151716;0.750663;0.377879
1.56724;0.896816;0.0417224;5.38266;0.145194;-0.232384;2.55485;0.842111;0.529453;-4.11179;-0.203034;0.116205;-0.418216;0.839058;0.641286
1.56724;1.48395;0.0111384;5.44331;0.145194;-0.232384;2.55485;0.804727;0.508356;-4.11179;-0.203034;0.116205;0.138727;0.3334;0.641286
1.56724;0.936618;0.0111384;4.31434;0.145194;-0.232384;2.09826;0.842111;0.508356;-3.65209;0.733096;0.240942;-0.151716;0.750663;0.641286
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.232384;2.55485;0.842111;0.0078454;-3.8692;-0.203034;0.240942;-0.151716;0.750663;0.377879
1.56724;1.48395;0.200112;5.44331;0.145194;-0.232384;1.26984;0.804727;0.529453;-3.8692;-0.548271;0.240942;0.138727;0.839058;0.369097
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.232384;1.57314;0.842111;0.508356;-3.8692;-0.203034;0.240942;-0.0714386;0.3334;0.377879
1.56724;1.48395;0.0111384;5.30468;0.145194;-0.232384;2.09826;0.842111;0.508356;-3.65209;-0.548271;0.199732;-0.5039;0.750663;0.628872
1.56724;1.48395;0.0111384;4.31434;0.456118;-0.232384;1.35318;0.842111;0.721334;-3.59245;0.733096;0.199732;-0.418216;1.3707;0.641286
1.56724;1.48395;-0.130581;5.43029;0.145194;-0.232384;2.55485;0.842111;0.508356;-4.61961;-0.203034;0.199732;-0.5039;0.750663;0.377879
